jp_friday_date,etf_jp_friday_return,spy_matched_date,spy_next_return,direction
2022-03-11,-0.042036900895365166,2022-03-11,-0.06912439669829626,1
2022-03-18,-0.04115631011625962,2022-03-18,-0.0341720232680508,1
2022-03-25,-0.04702878937007874,2022-03-25,-0.04511096781429111,1
2022-04-01,-0.03921076328910176,2022-04-01,-0.04915699153537935,1
2022-04-08,-0.04371583702925615,2022-04-08,-0.04918788853334892,1
2022-04-22,-0.04548784695413836,2022-04-22,-0.07201487608812861,1
2022-05-06,-0.04187260329665917,2022-05-06,-0.04778261329492964,1
2022-05-13,-0.035863998888128634,2022-05-13,-0.036319772777082746,1
2022-05-20,-0.039067247178819445,2022-05-20,-0.05709864088326446,1
2022-05-27,-0.045972033514492756,2022-05-27,-0.031190534171704486,1
2022-06-03,-0.044021465024768294,2022-06-03,-0.05263039105346548,1
2022-06-10,-0.043802734375,2022-06-10,-0.06058103959464051,1
2022-06-17,-0.02054983024829688,2022-06-17,-0.04331223294719427,1
2022-06-24,-0.02864525482740943,2022-06-24,-0.022475548530271335,1
2022-07-01,-0.054446418366915,2022-07-01,-0.03234858439638878,1
2022-07-08,-0.04358285571699045,2022-07-08,-0.04077205920884711,1
2022-07-15,-0.04168372490125082,2022-07-15,-0.03778132932037738,1
2022-07-22,-0.0342481154275686,2022-07-22,-0.05340377090825441,1
2022-07-29,-0.047061718502690725,2022-07-29,-0.03388590881969118,1
2022-08-05,-0.03277825088862559,2022-08-05,-0.03533829136576627,1
2022-08-12,-0.03706541301226327,2022-08-12,-0.03274505843809266,1
2022-08-19,-0.03886613617673445,2022-08-19,-0.05061438364697903,1
2022-08-26,-0.03769596433176578,2022-08-26,-0.07631504495665004,1
2022-09-02,-0.0397543997224828,2022-09-02,-0.06342491732662417,1
2022-09-09,-0.04262654132153614,2022-09-09,-0.03506680011129816,1
2022-09-16,-0.03885333251953125,2022-09-16,-0.036753604766633564,1
2022-09-30,-0.04294383834648258,2022-09-30,-0.05255602860521168,1
2022-10-07,-0.03915352063301282,2022-10-07,-0.056375512193177255,1
2022-10-14,-0.03236523813824663,2022-10-14,-0.06873663432711367,1
2022-10-21,-0.03793770760835179,2022-10-21,-0.016198254600454754,1
2022-10-28,-0.03915348674420426,2022-10-28,-0.01718478611906893,1
2022-11-04,-0.04783683341773138,2022-11-04,-0.041955841631092505,1
2022-11-11,-0.037375293992905616,2022-11-11,-0.03321724891579242,1
2022-11-18,-0.043061883995619527,2022-11-18,-0.04442719270192979,1
2022-11-25,-0.03885606133900929,2022-11-25,-0.039106975571430905,1
2022-12-02,-0.039455890595500316,2022-12-02,-0.02918322594585146,1
2022-12-09,-0.03349838821612488,2022-12-09,-0.044334868407530134,1
2022-12-16,-0.03507320573677378,2022-12-16,-0.040674866486583534,1
2022-12-23,-0.02954909485724114,2022-12-23,-0.02761557513035584,1
2022-12-30,-0.03584457335010232,2022-12-30,-0.03136045023367626,1
2023-01-06,-0.025594359599589323,2023-01-06,-0.02211062867760719,1
2023-01-13,-0.035492449061548866,2023-01-13,-0.023941436517203256,1
2023-01-20,-0.02481377811306009,2023-01-20,-0.02160927690551606,1
2023-01-27,-0.030633526726565087,2023-01-27,-0.03106970060249649,1
2023-02-03,-0.03224627176920573,2023-02-03,-0.03411393550565542,1
2023-02-10,-0.035066810780744334,2023-02-10,-0.03071563595458982,1
2023-02-17,-0.02980173235855054,2023-02-17,-0.03304505247120536,1
2023-02-24,-0.0319409895665485,2023-02-24,-0.0335536677393585,1
2023-03-03,-0.032257292832587145,2023-03-03,-0.025088380041162962,1
2023-03-10,-0.03602415720621745,2023-03-10,-0.04842046025744695,1
2023-03-17,-0.0351006664886625,2023-03-17,-0.040164351926766505,1
2023-03-24,-0.03806674039751761,2023-03-24,-0.022557571516033763,1
2023-03-31,-0.03380826739235219,2023-03-31,-0.02090242165494624,1
2023-04-14,-0.03318146475118484,2023-04-14,-0.03303521752636476,1
2023-04-21,-0.033179009323096205,2023-04-21,-0.032191273004792756,1
2023-04-28,-0.023465638241525425,2023-04-28,-0.02177213323579337,1
2023-05-12,-0.029559767573254365,2023-05-12,-0.03649870336098606,1
2023-05-19,-0.0357508964402497,2023-05-19,-0.03578488612579296,1
2023-05-26,-0.03547343610116383,2023-05-26,-0.021286255744410922,1
2023-06-02,-0.030019635078263437,2023-06-02,-0.024417728922813603,1
2023-06-09,-0.02410551212741087,2023-06-09,-0.032349726512213954,1
2023-06-16,-0.021981464245574598,2023-06-16,-0.0364254603210511,1
2023-06-23,-0.02689698012232416,2023-06-23,-0.027991541104943167,1
2023-06-30,-0.025547259641684902,2023-06-30,-0.024570922605060757,1
2023-07-07,-0.028487003464599342,2023-07-07,-0.028797063499771933,1
2023-07-14,-0.026903736888111887,2023-07-14,-0.031207420415871767,1
2023-07-21,-0.021801422638660077,2023-07-21,-0.03242859114477961,1
2023-07-28,-0.021780227884349985,2023-07-28,-0.026403783140705125,1
2023-08-04,-0.023704541610284166,2023-08-04,-0.037046573905561396,1
2023-08-18,-0.027676437448784483,2023-08-18,-0.02160391328069919,1
2023-08-25,-0.025018909776992112,2023-08-25,-0.02576324208158993,1
2023-09-01,-0.025039724576271186,2023-09-01,-0.03286399014106559,1
2023-09-08,-0.02581383656647246,2023-09-08,-0.027266142849019338,1
2023-09-15,-0.02505011676900967,2023-09-15,-0.0334122901873916,1
2023-09-22,-0.02025293473090514,2023-09-22,-0.029769263263555147,1
2023-09-29,-0.02634041717356042,2023-09-29,-0.034655304506628966,1
2023-10-06,-0.024207046282297966,2023-10-06,-0.007705585395881266,1
2023-10-13,-0.025813810752330225,2023-10-13,-0.033503212020564395,1
2023-10-20,-0.025549207089552238,2023-10-20,-0.036154854030654986,1
2023-10-27,-0.026624497086570477,2023-10-27,-0.033454321038229824,1
2023-11-10,-0.024014833652070695,2023-11-10,-0.014841112674314283,1
2023-11-17,-0.02531678491709184,2023-11-17,-0.024002566448123642,1
2023-11-24,-0.028041138687754066,2023-11-24,-0.024700749087933033,1
2023-12-01,-0.02531398275198769,2023-12-01,-0.01807103752067923,1
2023-12-08,-0.020544031093379055,2023-12-08,-0.019354706579011182,1
2023-12-15,-0.02078179746301583,2023-12-15,-0.021574665203005047,1
2023-12-22,-0.018748990111168564,2023-12-22,-0.021674977542987757,1
2023-12-29,-0.02001355639460154,2023-12-29,-0.023664845522090194,1
2024-01-05,-0.020263534189951294,2024-01-05,-0.02034074405211091,1
2024-01-12,-0.02000204094448631,2024-01-12,-0.02361714668433958,1
2024-01-19,-0.01589316449471355,2024-01-19,-0.011446280212897886,1
2024-01-26,-0.02116488407501206,2024-01-26,-0.021602332151597865,1
2024-02-02,-0.019509501536514824,2024-02-02,-0.011846230295314054,1
2024-02-09,-0.018822928821470245,2024-02-09,-0.016610619277915822,1
2024-02-16,-0.019283439949285386,2024-02-16,-0.02551353412281217,1
2024-03-01,-0.014374857695810565,2024-03-01,-0.013799163785520274,1
2024-03-08,-0.018614742529653283,2024-03-08,-0.02834263851229862,1
2024-03-15,-0.019509459670992713,2024-03-15,-0.01893129438592233,1
2024-03-22,-0.021436186544759827,2024-03-22,-0.019892509571265746,1
2024-04-05,-0.019072576715304077,2024-04-05,-0.010623849125029526,1
2024-04-12,-0.019081852376798953,2024-04-12,-0.02491878314619461,1
2024-04-19,-0.028303146020179373,2024-04-19,-0.026613608380968674,1
2024-04-26,-0.014778988486842105,2024-04-26,-0.014496617873699597,1
2024-05-10,-0.016989929068522484,2024-05-10,-0.020024949308922856,1
2024-05-17,-0.016615972149030354,2024-05-17,-0.017011843112604848,1
2024-05-24,-0.01848180359014675,2024-05-24,-0.01524242815981973,1
2024-05-31,-0.020338084988379464,2024-05-31,-0.0111119672567427,1
2024-06-07,-0.019509462476498853,2024-06-07,-0.017556157527576246,1
2024-06-14,-0.007008684808124107,2024-06-14,-0.014751215839530171,1
2024-06-21,-0.014257578125,2024-06-21,-0.014833650056898127,1
2024-06-28,-0.012512643082691928,2024-06-28,-0.020325122991155613,1
2024-07-05,-0.017341754217043683,2024-07-05,-0.009909515276210703,1
2024-07-12,-0.00902552175625123,2024-07-12,-0.010864023484574018,1
2024-07-19,-0.00757980711722488,2024-07-19,-0.021148292276227346,1
2024-07-26,-0.013002278850177861,2024-07-26,-0.011109415315019636,1
2024-08-02,-0.023105946348133847,2024-08-02,-0.020272216227251515,1
2024-08-09,-0.018797314409875997,2024-08-09,-0.009120655287246324,1
2024-08-16,-0.014651679712124397,2024-08-16,-0.009870534669180742,1
2024-08-23,-0.016331020984235195,2024-08-23,-0.010455813791132433,1
2024-08-30,-0.011906989902506963,2024-08-30,-0.00992124650727019,1
2024-09-06,-0.020732656491073396,2024-09-06,-0.03219090061870874,1
2024-09-13,-0.018973324424342106,2024-09-13,-0.010985259025097246,1
2024-09-20,-0.019059005591054314,2024-09-20,-0.011298339515779614,1
2024-09-27,-0.007264632574968763,2024-09-27,-0.015319729090304863,1
2024-10-04,-0.01955799403526971,2024-10-04,-0.010924051083767303,1
2024-10-11,-0.01564532699677289,2024-10-11,-0.0059570864726362135,1
2024-10-18,-0.0167954843255538,2024-10-18,-0.01113183340695339,1
2024-10-25,-0.015233222260476097,2024-10-25,-0.016208097436252684,1
2024-11-01,-0.009725867326534693,2024-11-01,-0.012495690671456151,1
2024-11-08,-0.016518597243273966,2024-11-08,-0.00866390673948255,1
2024-11-15,-0.020349442151650812,2024-11-15,-0.018662649819312246,1
2024-11-22,-0.008310190114518267,2024-11-22,-0.008932583836467804,1
2024-11-29,-0.02160393127860412,2024-11-29,-0.007249897173782872,1
2024-12-06,-0.017098630014326648,2024-12-06,-0.01140972782464189,1
2024-12-13,-0.007634742439231204,2024-12-13,-0.015579565221154801,1
2024-12-20,-0.01677025484751506,2024-12-20,0.007296899195528194,-1
2024-12-27,-0.012405465182648403,2024-12-27,-0.012883429629640978,1
